City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,gulf shores,30.246,-87.7008,79.57,67,100,4.0,US,1686006514
340,kapuskasing,49.4169,-82.4331,67.23,29,93,11.07,CA,1686006514
341,gejiu,23.306,103.1635,58.82,95,100,2.04,CN,1686006514
342,pizarro,4.9533,-77.366,81.36,82,79,7.11,CO,1686006514
343,rio grande,-32.035,-52.0986,53.71,72,81,6.17,BR,1686006330
344,al hazm,16.1641,44.7769,83.19,19,7,1.41,YE,1686006515
345,galliano,29.4422,-90.2992,82.4,65,0,3.44,US,1686006515
346,letterkenny,54.95,-7.7333,55.47,79,88,1.54,IE,1686006515
347,anloga,5.7947,0.8973,80.89,81,100,14.2,GH,1686006515
348,ghanzi,-21.5667,21.7833,57.22,28,0,7.2,BW,1686006516
349,arrifes,37.7667,-25.7,61.05,88,20,21.85,PT,1686006516
350,loudi,27.7344,111.9944,69.35,80,100,2.13,CN,1686006516
351,mil'kovo,55.6078,37.7956,54.0,83,17,5.28,RU,1686006516
352,qamdo,31.1667,97.2333,39.67,56,5,4.9,CN,1686006516
353,bogale,16.2833,95.4,79.18,87,95,5.06,MM,1686006516
354,sandnessjoen,66.0217,12.6316,39.72,69,100,5.37,NO,1686006517
355,belaya kholunitsa,58.84,50.8528,44.73,89,14,5.03,RU,1686006517
356,kambah,-35.3862,149.058,51.37,94,100,0.0,AU,1686006517
357,egersund,58.4513,5.9997,49.08,90,0,15.59,NO,1686006517
358,xiangxiang,27.7333,112.5333,68.67,77,91,3.83,CN,1686006267
359,santa maria,-29.6842,-53.8069,60.19,96,91,5.21,BR,1686006517
360,mantyharju,61.4167,26.8833,39.31,77,44,5.61,FI,1686006517
361,kovur,14.4833,79.9833,90.66,44,96,8.7,IN,1686006518
362,malvan,16.0667,73.4667,82.81,80,37,8.46,IN,1686006376
363,taghazout,30.5426,-9.7112,68.77,81,94,3.02,MA,1686006518
